# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00448,0.00589,1.08582,0.01596,0.01098,2.78035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00455,0.00593,1.09691,0.01575,0.01102,2.79461,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00461,0.00598,1.10806,0.01634,0.01085,2.80841,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00468,0.00602,1.11926,0.01672,0.01103,2.82191,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00474,0.00606,1.13052,0.01638,0.01096,2.83531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00481,0.00611,1.14184,0.01584,0.01101,2.84869,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00487,0.00615,1.15321,0.01549,0.01149,2.86258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00494,0.00620,1.16463,0.01554,0.01136,2.87703,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00500,0.00624,1.17611,0.01555,0.01135,2.89167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00506,0.00629,1.18765,0.01530,0.01186,2.90630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00512,0.00633,1.19924,0.01517,0.01162,2.92107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00518,0.00638,1.21090,0.01522,0.01138,2.93546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00524,0.00643,1.22261,0.01476,0.01206,2.94917,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00530,0.00647,1.23438,0.01427,0.01197,2.96319,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00536,0.00652,1.24620,0.01445,0.01189,2.97737,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00542,0.00657,1.25809,0.01413,0.01180,2.99150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00548,0.00662,1.27002,0.01357,0.01089,3.00554,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00553,0.00666,1.28202,0.01343,0.01018,3.01968,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00559,0.00670,1.29407,0.01315,0.00985,3.03461,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00564,0.00674,1.30618,0.01290,0.00970,3.04935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
