t,mx,my,mz
7.54,-11.93764973715883,-18.87861190045893,-41.907978731842455
7.5600000000000005,-12.117510851434565,-18.975851562520642,-41.86089071317613
7.58,-11.961677581763906,-19.30199835912951,-42.41791052037817
7.6000000000000005,-11.876544048765203,-18.782045100295086,-41.36278347145044
7.62,-12.060486510159704,-18.944656559326624,-42.29687197921732
7.640000000000001,-11.919858400106826,-18.753522373924454,-42.026499602613406
7.66,-12.155988178714127,-18.7281008528946,-41.4753870116351
7.68,-12.229728346513035,-18.796391370288806,-41.67391315597444
7.7,-11.95088017358086,-18.69526452418682,-42.375896803597165
7.72,-12.213106039227005,-18.98187282007046,-41.89396312314982
7.74,-12.401055124202232,-18.35685639874824,-41.77368585960896
7.76,-12.288519808411847,-18.612711030318838,-41.98848793841899
7.78,-12.491445543880937,-18.17069236822987,-42.23250911520077
7.8,-12.451922603393554,-18.667626335787585,-42.34783324507191
7.82,-12.407526846989171,-18.326244951351068,-42.02314164431259
7.84,-12.532288486854679,-18.649779965205443,-42.05609142576729
7.86,-12.567186043858491,-18.38545607233812,-42.46075549064978
7.88,-12.772215449550666,-18.2584117127557,-41.714756415023494
7.9,-12.708809097850656,-18.34894105404656,-42.33968589385553
7.92,-12.724579718533649,-18.572021676292266,-41.622557049672785
7.94,-12.686946821723488,-18.359376771697875,-41.71858067022869
7.96,-12.791239685588383,-18.38088509557125,-42.23662043902326
7.98,-12.938653342882478,-18.340120458519923,-42.66399341594618
8.0,-12.956191131841468,-18.110750344578015,-42.10039681932737
8.02,-12.761443087567033,-18.22231045025766,-41.74677736515644
8.040000000000001,-13.055148115107178,-18.240053184509726,-41.97480162599384
8.06,-12.719463259488785,-18.45741321839786,-42.59038336135539
8.08,-12.886924137678665,-17.963380324840504,-42.13548202643102
8.1,-12.889845273537391,-18.047382702766665,-42.32372253964862
8.120000000000001,-13.046950791933522,-17.871636364229943,-41.65728837885626
8.14,-13.045307981416043,-18.074168441512278,-41.755280908896665
8.16,-13.076317618739832,-17.94806268379699,-42.36926013158412
8.18,-13.25646022948818,-17.454545403465758,-41.37312595676652
8.2,-13.152794229218916,-17.997339836744,-42.800811264411784
8.22,-13.398161303441317,-18.043504267181994,-42.29187850674497
8.24,-13.287269737368085,-17.97588094172924,-42.486162316750914
8.26,-13.096287092680013,-17.667265475926033,-42.13025588243951
8.28,-13.408342449356907,-18.12648208543919,-42.59079473747028
8.3,-13.466789613233308,-17.7799885320345,-41.97939043764255
8.32,-13.508977088353086,-17.767490554441263,-41.520737721985434
8.34,-13.532123213045445,-17.731467585534755,-42.18674875025306
8.36,-13.513247552306334,-17.412166145986262,-41.50920802674512
8.38,-13.395983116134945,-17.51841151182252,-42.26110589138077
8.4,-13.574445807459545,-17.376230140631513,-42.599436914052966
8.42,-13.56036039028892,-17.638475935862456,-42.46662084057456
8.44,-13.861335723941766,-17.707976717938255,-41.80853958061881
8.46,-13.871149505806628,-17.54844812116976,-42.4970916976257
8.48,-13.894918372979559,-17.36594021515092,-42.71032575109332
8.5,-13.845514737456783,-17.401768575425628,-42.82031686281658
8.52,-14.057311149229783,-17.415829901284518,-42.87423985539845
8.540000000000001,-13.853716576881972,-17.471177461681446,-42.62370860683325
8.56,-13.719873993872575,-17.63870967397865,-42.68144624536123
8.58,-13.780684853335645,-17.20697393764863,-42.17893964621807
8.6,-13.981598448278724,-17.30602000259455,-41.38349143373865
8.620000000000001,-13.907663486042548,-17.407512712477935,-42.11651918039963
8.64,-14.031217067495655,-17.207943689147918,-41.761688031741656
8.66,-14.10682613882616,-17.492059169531366,-42.98734991042939
8.68,-14.199109847163621,-17.246289061504132,-42.49412987257014
8.700000000000001,-14.066294398744729,-17.36547847835031,-42.41761851726925
8.72,-14.180615650975088,-17.403060974186015,-42.1520560531734
8.74,-14.214705825549656,-17.14883235384465,-41.881761722905615
8.76,-14.254546142890067,-17.185085523541254,-42.28711828291347
8.78,-14.147096557770363,-17.301408407920643,-41.64983269461859
8.8,-14.355379063156361,-16.71643964520588,-42.296133046097594
